name,link,severity,package,version,fixedBy
CVE-2022-32221,https://avd.aquasec.com/nvd/cve-2022-32221,CRITICAL,curl,7.64.0-4+deb10u2,7.64.0-4+deb10u4
CVE-2022-1664,https://avd.aquasec.com/nvd/cve-2022-1664,CRITICAL,dpkg,1.19.7,1.19.8
CVE-2021-33574,https://avd.aquasec.com/nvd/cve-2021-33574,CRITICAL,libc-bin,2.28-10,2.28-10+deb10u2
CVE-2021-35942,https://avd.aquasec.com/nvd/cve-2021-35942,CRITICAL,libc-bin,2.28-10,2.28-10+deb10u2
CVE-2022-23218,https://avd.aquasec.com/nvd/cve-2022-23218,CRITICAL,libc-bin,2.28-10,2.28-10+deb10u2
CVE-2022-23219,https://avd.aquasec.com/nvd/cve-2022-23219,CRITICAL,libc-bin,2.28-10,2.28-10+deb10u2
CVE-2021-33574,https://avd.aquasec.com/nvd/cve-2021-33574,CRITICAL,libc6,2.28-10,2.28-10+deb10u2
CVE-2021-35942,https://avd.aquasec.com/nvd/cve-2021-35942,CRITICAL,libc6,2.28-10,2.28-10+deb10u2
CVE-2022-23218,https://avd.aquasec.com/nvd/cve-2022-23218,CRITICAL,libc6,2.28-10,2.28-10+deb10u2
CVE-2022-23219,https://avd.aquasec.com/nvd/cve-2022-23219,CRITICAL,libc6,2.28-10,2.28-10+deb10u2
CVE-2022-32221,https://avd.aquasec.com/nvd/cve-2022-32221,CRITICAL,libcurl4,7.64.0-4+deb10u2,7.64.0-4+deb10u4
CVE-2019-8457,https://avd.aquasec.com/nvd/cve-2019-8457,CRITICAL,libdb5.3,5.3.28+dfsg1-0.5,
CVE-2022-22822,https://avd.aquasec.com/nvd/cve-2022-22822,CRITICAL,libexpat1,2.2.6-2+deb10u1,2.2.6-2+deb10u2
CVE-2022-22823,https://avd.aquasec.com/nvd/cve-2022-22823,CRITICAL,libexpat1,2.2.6-2+deb10u1,2.2.6-2+deb10u2
CVE-2022-22824,https://avd.aquasec.com/nvd/cve-2022-22824,CRITICAL,libexpat1,2.2.6-2+deb10u1,2.2.6-2+deb10u2
CVE-2022-23852,https://avd.aquasec.com/nvd/cve-2022-23852,CRITICAL,libexpat1,2.2.6-2+deb10u1,2.2.6-2+deb10u2
